categoryID,categoryName,description,productID,productName,supplierID,quantityPerUnit,unitPrice,unitsInStock,unitsOnOrder,reorderLevel,discontinued,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax,homePage
1,Beverages,Soft drinks coffees teas beers and ales,1,Chai,1,10 boxes x 20 bags,18.0,39,0,10,0,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,
1,Beverages,Soft drinks coffees teas beers and ales,2,Chang,1,24 - 12 oz bottles,19.0,17,40,25,0,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,3,Aniseed Syrup,1,12 - 550 ml bottles,10.0,13,70,25,0,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,
1,Beverages,Soft drinks coffees teas beers and ales,24,Guaraná Fantástica,10,12 - 355 ml cans,4.5,20,0,0,1,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Av. das Americanas 12.890,Sao Paulo,,5442,Brazil,(11) 555 4640,,
1,Beverages,Soft drinks coffees teas beers and ales,34,Sasquatch Ale,16,24 - 12 oz bottles,14.0,111,0,15,0,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,3400 - 8th Avenue Suite 210,Bend,OR,97101,USA,(503) 555-9931,,
1,Beverages,Soft drinks coffees teas beers and ales,35,Steeleye Stout,16,24 - 12 oz bottles,18.0,20,0,15,0,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,3400 - 8th Avenue Suite 210,Bend,OR,97101,USA,(503) 555-9931,,
1,Beverages,Soft drinks coffees teas beers and ales,67,Laughing Lumberjack Lager,16,24 - 12 oz bottles,14.0,52,0,10,0,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,3400 - 8th Avenue Suite 210,Bend,OR,97101,USA,(503) 555-9931,,
1,Beverages,Soft drinks coffees teas beers and ales,38,Côte de Blaye,18,12 - 75 cl bottles,263.5,17,0,15,0,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,203 Rue des Francs-Bourgeois,Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,
1,Beverages,Soft drinks coffees teas beers and ales,39,Chartreuse verte,18,750 cc per bottle,18.0,69,0,5,0,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,203 Rue des Francs-Bourgeois,Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,
1,Beverages,Soft drinks coffees teas beers and ales,43,Ipoh Coffee,20,16 - 500 g tins,46.0,17,10,25,0,Leka Trading,Chandra Leka,Owner,471 Serangoon Loop Suite #402,Singapore,,0512,Singapore,555-8787,,
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,44,Gula Malacca,20,20 - 2 kg bags,19.45,27,0,15,0,Leka Trading,Chandra Leka,Owner,471 Serangoon Loop Suite #402,Singapore,,0512,Singapore,555-8787,,
5,Grains/Cereals,Breads crackers pasta and cereal,42,Singaporean Hokkien Fried Mee,20,32 - 1 kg pkgs.,14.0,26,0,0,1,Leka Trading,Chandra Leka,Owner,471 Serangoon Loop Suite #402,Singapore,,0512,Singapore,555-8787,,
1,Beverages,Soft drinks coffees teas beers and ales,70,Outback Lager,7,24 - 355 ml bottles,15.0,15,10,30,0,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,63,Vegie-spread,7,15 - 625 g jars,43.9,24,0,5,0,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
3,Confections,Desserts candies and sweet breads,16,Pavlova,7,32 - 500 g boxes,17.45,29,0,10,0,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
6,Meat/Poultry,Prepared meats,17,Alice Mutton,7,20 - 1 kg tins,39.0,0,0,0,1,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
8,Seafood,Seaweed and fish,18,Carnarvon Tigers,7,16 kg pkg.,62.5,42,0,0,0,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
1,Beverages,Soft drinks coffees teas beers and ales,75,Rhönbräu Klosterbier,12,24 - 0.5 l bottles,7.75,125,0,25,0,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,77,Original Frankfurter grüne Soße,12,12 boxes,13.0,32,0,15,0,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
5,Grains/Cereals,Breads crackers pasta and cereal,64,Wimmers gute Semmelknödel,12,20 bags x 4 pieces,33.25,22,80,30,0,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
6,Meat/Poultry,Prepared meats,29,Thüringer Rostbratwurst,12,50 bags x 30 sausgs.,123.79,0,0,0,1,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
7,Produce,Dried fruit and bean curd,28,Rössle Sauerkraut,12,25 - 825 g cans,45.6,26,0,0,1,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
1,Beverages,Soft drinks coffees teas beers and ales,76,Lakkalikööri,23,500 ml,18.0,57,0,20,0,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,,53120,Finland,(953) 10956,,
3,Confections,Desserts candies and sweet breads,49,Maxilaku,23,24 - 50 g pkgs.,20.0,10,60,15,0,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,,53120,Finland,(953) 10956,,
3,Confections,Desserts candies and sweet breads,50,Valkoinen suklaa,23,12 - 100 g bars,16.25,65,0,30,0,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,,53120,Finland,(953) 10956,,
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,4,Chef Anton's Cajun Seasoning,2,48 - 6 oz jars,22.0,53,0,0,0,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822,,#CAJUN.HTM#
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,5,Chef Anton's Gumbo Mix,2,36 boxes,21.35,0,0,0,1,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822,,#CAJUN.HTM#
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,65,Louisiana Fiery Hot Pepper Sauce,2,32 - 8 oz bottles,21.05,76,0,0,0,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822,,#CAJUN.HTM#
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,66,Louisiana Hot Spiced Okra,2,24 - 8 oz jars,17.0,4,100,20,0,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822,,#CAJUN.HTM#
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,6,Grandma's Boysenberry Spread,3,12 - 8 oz jars,25.0,120,0,25,0,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,707 Oxford Rd.,Ann Arbor,MI,48104,USA,(313) 555-5735,(313) 555-3349,
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,8,Northwoods Cranberry Sauce,3,12 - 12 oz jars,40.0,6,0,0,0,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,707 Oxford Rd.,Ann Arbor,MI,48104,USA,(313) 555-5735,(313) 555-3349,
7,Produce,Dried fruit and bean curd,7,Uncle Bob's Organic Dried Pears,3,12 - 1 lb pkgs.,30.0,15,0,10,0,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,707 Oxford Rd.,Ann Arbor,MI,48104,USA,(313) 555-5735,(313) 555-3349,
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,15,Genen Shouyu,6,24 - 250 ml bottles,15.5,39,0,5,0,Mayumi's,Mayumi Ohno,Marketing Representative,92 Setsuko Chuo-ku,Osaka,,545,Japan,(06) 431-7877,,Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
7,Produce,Dried fruit and bean curd,14,Tofu,6,40 - 100 g pkgs.,23.25,35,0,0,0,Mayumi's,Mayumi Ohno,Marketing Representative,92 Setsuko Chuo-ku,Osaka,,545,Japan,(06) 431-7877,,Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
8,Seafood,Seaweed and fish,13,Konbu,6,2 kg box,6.0,24,0,5,0,Mayumi's,Mayumi Ohno,Marketing Representative,92 Setsuko Chuo-ku,Osaka,,545,Japan,(06) 431-7877,,Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,61,Sirop d'érable,29,24 - 500 ml bottles,28.5,113,0,25,0,Forêts d'érables,Chantal Goulet,Accounting Manager,148 rue Chasseur,Ste-Hyacinthe,Québec,J2S 7S8,Canada,(514) 555-2955,(514) 555-2921,
3,Confections,Desserts candies and sweet breads,62,Tarte au sucre,29,48 pies,49.3,17,0,0,0,Forêts d'érables,Chantal Goulet,Accounting Manager,148 rue Chasseur,Ste-Hyacinthe,Québec,J2S 7S8,Canada,(514) 555-2955,(514) 555-2921,
3,Confections,Desserts candies and sweet breads,19,Teatime Chocolate Biscuits,8,10 boxes x 12 pieces,9.2,25,0,5,0,Specialty Biscuits Ltd.,Peter Wilson,Sales Representative,29 King's Way,Manchester,,M14 GSD,UK,(161) 555-4448,,
3,Confections,Desserts candies and sweet breads,20,Sir Rodney's Marmalade,8,30 gift boxes,81.0,40,0,0,0,Specialty Biscuits Ltd.,Peter Wilson,Sales Representative,29 King's Way,Manchester,,M14 GSD,UK,(161) 555-4448,,
3,Confections,Desserts candies and sweet breads,21,Sir Rodney's Scones,8,24 pkgs. x 4 pieces,10.0,3,40,5,0,Specialty Biscuits Ltd.,Peter Wilson,Sales Representative,29 King's Way,Manchester,,M14 GSD,UK,(161) 555-4448,,
3,Confections,Desserts candies and sweet breads,68,Scottish Longbreads,8,10 boxes x 8 pieces,12.5,6,10,15,0,Specialty Biscuits Ltd.,Peter Wilson,Sales Representative,29 King's Way,Manchester,,M14 GSD,UK,(161) 555-4448,,
3,Confections,Desserts candies and sweet breads,25,NuNuCa Nuß-Nougat-Creme,11,20 - 450 g glasses,14.0,76,0,30,0,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,Tiergartenstraße 5,Berlin,,10785,Germany,(010) 9984510,,
3,Confections,Desserts candies and sweet breads,26,Gumbär Gummibärchen,11,100 - 250 g bags,31.23,15,0,0,0,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,Tiergartenstraße 5,Berlin,,10785,Germany,(010) 9984510,,
3,Confections,Desserts candies and sweet breads,27,Schoggi Schokolade,11,100 - 100 g pieces,43.9,49,0,30,0,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,Tiergartenstraße 5,Berlin,,10785,Germany,(010) 9984510,,
3,Confections,Desserts candies and sweet breads,47,Zaanse koeken,22,10 - 4 oz boxes,9.5,36,0,0,0,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,Verkoop Rijnweg 22,Zaandam,,9999 ZZ,Netherlands,(12345) 1212,(12345) 1210,
3,Confections,Desserts candies and sweet breads,48,Chocolade,22,10 pkgs.,12.75,15,70,25,0,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,Verkoop Rijnweg 22,Zaandam,,9999 ZZ,Netherlands,(12345) 1212,(12345) 1210,
4,Dairy Products,Cheeses,11,Queso Cabrales,5,1 kg pkg.,21.0,22,30,30,0,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,33007,Spain,(98) 598 76 54,,
4,Dairy Products,Cheeses,12,Queso Manchego La Pastora,5,10 - 500 g pkgs.,38.0,86,0,0,0,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,33007,Spain,(98) 598 76 54,,
4,Dairy Products,Cheeses,31,Gorgonzola Telino,14,12 - 100 g pkgs,12.5,0,70,20,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,Viale Dante 75,Ravenna,,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#
4,Dairy Products,Cheeses,32,Mascarpone Fabioli,14,24 - 200 g pkgs.,32.0,9,40,25,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,Viale Dante 75,Ravenna,,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#
4,Dairy Products,Cheeses,72,Mozzarella di Giovanni,14,24 - 200 g pkgs.,34.8,14,0,0,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,Viale Dante 75,Ravenna,,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#
4,Dairy Products,Cheeses,33,Geitost,15,500 g,2.5,112,0,20,0,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,,1320,Norway,(0)2-953010,,
4,Dairy Products,Cheeses,69,Gudbrandsdalsost,15,10 kg pkg.,36.0,26,0,15,0,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,,1320,Norway,(0)2-953010,,
4,Dairy Products,Cheeses,71,Flotemysost,15,10 - 500 g pkgs.,21.5,26,0,0,0,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,,1320,Norway,(0)2-953010,,
4,Dairy Products,Cheeses,59,Raclette Courdavault,28,5 kg pkg.,55.0,79,0,0,0,Gai pâturage,Eliane Noz,Sales Representative,Bat. B 3 rue des Alpes,Annecy,,74000,France,38.76.98.06,38.76.98.58,
4,Dairy Products,Cheeses,60,Camembert Pierrot,28,15 - 300 g rounds,34.0,19,0,0,0,Gai pâturage,Eliane Noz,Sales Representative,Bat. B 3 rue des Alpes,Annecy,,74000,France,38.76.98.06,38.76.98.58,
5,Grains/Cereals,Breads crackers pasta and cereal,22,Gustaf's Knäckebröd,9,24 - 500 g pkgs.,21.0,104,0,25,0,PB Knäckebröd AB,Lars Peterson,Sales Agent,Kaloadagatan 13,Göteborg,,S-345 67,Sweden,031-987 65 43,031-987 65 91,
5,Grains/Cereals,Breads crackers pasta and cereal,23,Tunnbröd,9,12 - 250 g pkgs.,9.0,61,0,25,0,PB Knäckebröd AB,Lars Peterson,Sales Agent,Kaloadagatan 13,Göteborg,,S-345 67,Sweden,031-987 65 43,031-987 65 91,
5,Grains/Cereals,Breads crackers pasta and cereal,52,Filo Mix,24,16 - 2 kg boxes,7.0,38,0,25,0,G'day Mate,Wendy Mackenzie,Sales Representative,170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia,(02) 555-5914,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#
6,Meat/Poultry,Prepared meats,53,Perth Pasties,24,48 pieces,32.8,0,0,0,1,G'day Mate,Wendy Mackenzie,Sales Representative,170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia,(02) 555-5914,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#
7,Produce,Dried fruit and bean curd,51,Manjimup Dried Apples,24,50 - 300 g pkgs.,53.0,20,0,10,0,G'day Mate,Wendy Mackenzie,Sales Representative,170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia,(02) 555-5914,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#
5,Grains/Cereals,Breads crackers pasta and cereal,56,Gnocchi di nonna Alice,26,24 - 250 g pkgs.,38.0,21,10,30,0,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,Via dei Gelsomini 153,Salerno,,84100,Italy,(089) 6547665,(089) 6547667,
5,Grains/Cereals,Breads crackers pasta and cereal,57,Ravioli Angelo,26,24 - 250 g pkgs.,19.5,36,0,20,0,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,Via dei Gelsomini 153,Salerno,,84100,Italy,(089) 6547665,(089) 6547667,
6,Meat/Poultry,Prepared meats,9,Mishi Kobe Niku,4,18 - 500 g pkgs.,97.0,29,0,0,1,Tokyo Traders,Yoshi Nagase,Marketing Manager,9-8 Sekimai Musashino-shi,Tokyo,,100,Japan,(03) 3555-5011,,
7,Produce,Dried fruit and bean curd,74,Longlife Tofu,4,5 kg pkg.,10.0,4,20,5,0,Tokyo Traders,Yoshi Nagase,Marketing Manager,9-8 Sekimai Musashino-shi,Tokyo,,100,Japan,(03) 3555-5011,,
8,Seafood,Seaweed and fish,10,Ikura,4,12 - 200 ml jars,31.0,31,0,0,0,Tokyo Traders,Yoshi Nagase,Marketing Manager,9-8 Sekimai Musashino-shi,Tokyo,,100,Japan,(03) 3555-5011,,
6,Meat/Poultry,Prepared meats,54,Tourtière,25,16 pies,7.45,21,0,10,0,Ma Maison,Jean-Guy Lauzon,Marketing Manager,2960 Rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-9022,,
6,Meat/Poultry,Prepared meats,55,Pâté chinois,25,24 boxes x 2 pies,24.0,115,0,20,0,Ma Maison,Jean-Guy Lauzon,Marketing Manager,2960 Rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-9022,,
8,Seafood,Seaweed and fish,30,Nord-Ost Matjeshering,13,10 - 200 g glasses,25.89,10,0,15,0,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,Frahmredder 112a,Cuxhaven,,27478,Germany,(04721) 8713,(04721) 8714,
8,Seafood,Seaweed and fish,36,Inlagd Sill,17,24 - 250 g  jars,19.0,112,0,20,0,Svensk Sjöföda AB,Michael Björn,Sales Representative,Brovallavägen 231,Stockholm,,S-123 45,Sweden,08-123 45 67,,
8,Seafood,Seaweed and fish,37,Gravad lax,17,12 - 500 g pkgs.,26.0,11,50,25,0,Svensk Sjöföda AB,Michael Björn,Sales Representative,Brovallavägen 231,Stockholm,,S-123 45,Sweden,08-123 45 67,,
8,Seafood,Seaweed and fish,73,Röd Kaviar,17,24 - 150 g jars,15.0,101,0,5,0,Svensk Sjöföda AB,Michael Björn,Sales Representative,Brovallavägen 231,Stockholm,,S-123 45,Sweden,08-123 45 67,,
8,Seafood,Seaweed and fish,40,Boston Crab Meat,19,24 - 4 oz tins,18.4,123,0,30,0,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,MA,02134,USA,(617) 555-3267,(617) 555-3389,
8,Seafood,Seaweed and fish,41,Jack's New England Clam Chowder,19,12 - 12 oz cans,9.65,85,0,10,0,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,MA,02134,USA,(617) 555-3267,(617) 555-3389,
8,Seafood,Seaweed and fish,45,Rogede sild,21,1k pkg.,9.5,5,70,15,0,Lyngbysild,Niels Petersen,Sales Manager,Lyngbysild Fiskebakken 10,Lyngby,,2800,Denmark,43844108,43844115,
8,Seafood,Seaweed and fish,46,Spegesild,21,4 - 450 g glasses,12.0,95,0,0,0,Lyngbysild,Niels Petersen,Sales Manager,Lyngbysild Fiskebakken 10,Lyngby,,2800,Denmark,43844108,43844115,
8,Seafood,Seaweed and fish,58,Escargots de Bourgogne,27,24 pieces,13.25,62,0,20,0,Escargots Nouveaux,Marie Delamare,Sales Manager,22 rue H. Voiron,Montceau,,71300,France,85.57.00.07,,
